	review	rating
137	Idiot phone stupid phone Samsung is better than this phone waste of my money  very poor display	1
138	Camera is awesome and display is also very good. The look and feel of phone is great. Good phone at this price.	5
139	It is a excellent phone. Camera 5/5,Battery 5/4,  Software5/5, looks 5/4, Display 5/5, Value for money 5/4, Amazon delivery 5/3 should be more faster. Regular tracking update missing.Resolution - Must go for it.	5
140	Everything fine except heavy heating problem under normal using with mobile data ON..and if hot spot is ON then it is unbearable to keep in hand..planning to return the product but Amazon not showing interest to take it back..	3
141	Not a good one.u can go for mi note 5 pro	1
142	superb mobile excellent camREAD MORE	5
143	Good battery life	5
144	Bought honor 8x 10 days ago and I must say  you won't find another one like this within this range.First of all, Its camera quality is best especially its AI modeSlo-Mo mode is awesome.It will automatically detect the kind of picture you are capturing.Battery backup is good even with heavy usage.You already know about Honor's Smartphone have excelled in design than any other brand.  Loved the blue variant.No heating or hang problem	5
145	Awesome product, but rear camera slightly disappointed.	5
146	ok	4
147	Very good quality phone in the price range offered. Battery life lasts over a day. Good quality camera. Nice loud sound quality	5
148	I have used over 10 smartphones. This is the best mid range phone I have ever used.	5
149	The product is good and look is awesome but i wanted nokia 6.1 plus but by mistake ordered nokia 6.1.I wanted to return the product on the day of delivery itself but amazon didn't agree.I said i will buy 6.1 plus for exchange but still they didn't agree.I don't understand if the product is new and working fine and it was just delivered, what's the harm in returning or exchanging.Didn't expect this from amazon.	2
150	Best smartphone under 20k. Best camera in its competition	5
151	Dual rear camera gives good pictures.AI support for camera.Battery life is fabulous.Two days life with normal all works done.Screen resolution is much better.Hardware is supported for all day activities including low level gaming.No leggings with multi app running background.Looks great with Knoch.All features are best in this category.	5
152	Very good and affordable and reliable phone. I love this because of its small size.	5
153	This phone good but do not have work net connect and till day my not received bill copy by mail .	3
154	Mobile is slow and hanging after using 40% Space, Battering Draining too fast, within six months turbo charging is stop.	1
155	Excellent best camera and sound	5
156	Worst received defective product	1
157	Picture quality so good.	5
158	Value for money	3
159	bad battery quality	1
160	Good for normal use, but the youth wants more. Due to slow and old processor, you can't play games like asphalt or pubg. It's phone for calling, normal web surfing and video streaming. If you put more load, phone slowed down. Hotspot is big problem in this phone, never connected in one go.	2
161	Good battery life and value for money	5
162	Camera Picture quality is good but close object is not focusing.. small budget phone also focusing properly..  I purchased for camera but i got issue in camera..plz resolve this issue...Everything is good in this price of point....	4
163	Everything's fine except for the battery........ anyways love it 😘😘	4
164	Phone is so good	4
165	Everything is good but battery drain out very fast.	4
166	camara very bad	3
167	nice phone by nokia.... i m not satisfied with battery back-upREAD MORE	5
168	Fantastic mobile, go for it.  Battery life is too good	5
169	Found to be good	5
170	This mobile is Soo good in Rs 15000 (Amazon great Indian sale) but I bought it in 17000 one month ago,bad luck.	5
171	Awesome budget phone	5
172	finally got a phone in my budget that looks like s8everything is perfectexcept the cameras which i dont like muchand the back panel is worst, it gives you feel like using a 5000rs phonefront n sides are amazing, just waiting for a skin to apply on my lg q6 back	5
173	Poor wifivery poor batterygood camera	2
174	Its camera is much like DSLR camera, and its performance is also good ..	5
175	Mi A2 is worst cellphone e I have ever used before .please don't buy it performance wise it  sucks and it has many problems with it	1
176	Nyc	4
177	Never ever buy. It's a worst product. Power button is not locking the screen. Phone gets heat .lack of features .	1
178	Nice look n design...heating problem but in winter its not heating....sound quality vry good...camera rear good...front camera take a bit blurred pictur so not upto the mark...processor is nice...resolution is good...battry lasting upto 1 n haf day of full use..a bit dissapointd wid battry....battry cud hav been bettrOverall at this price bazal less display phone is satisfactry	4
179	Bad product	2
180	Awsome phone ever made by Xiaomi. Notch display is killing it.	5
181	Budgeted phone	5
182	Good mobile	5
183	After Pai update battery backup is awesome Build quality and looks amazing . Best rear and fron camera for this price bracket	5
184	5 star	5
185	Good phone . Only for the display ..... bt on YouTube you only can play 16:9 videos , so there are a black portion coming on 18:9 display . Average camera not much of excitement there. Overall it's good.	4
186	After few days of using  now screen is off. Mobile is on but display is off.Not at all reccommended for buyService center rejects telling physical damage but never physically damaged	1
187	Battery life s not good	5
188	All good in this mobile.....but.  Camera....it looks like karbon and lava phoneRest all good worth or 10k	4
189	Battery , screen quality, smoothness is very good .Picture quality is also good but only in light areaOver all it's nice	4
190	Bkvash	3
191	Too Bad company. Too bad mobil. Too bad reply from L.G and amzon booth are same cheeter don't by L.G product	1
192	All i can say is...this is the best J series smartphone...	5
193	Good product, but I don’t think it is better than note 5 pro	4
194	Very bad product and screen quality is low and miss behaviour of phone is too high	1
195	Camera is excellent both in Day and nightSound quality is good not loud and not low alsoBattery life is excellent getting 1and half day of backupPerformance is good but comes with old chipset	4
196	Everything is superb...	5
197	This phone has nothing good which makes you to buy it.. Front camera at the range of 15k is like you will get even best in 4k rupees phone. Phones heats up alot. Battery backup is worst. Back panel gets scratch alot even in basic usage. Sound you need to keep your ear closer to the speaker to hear. Ohh god why i bought this phone...	1
198	"It's great phone in this price range with most of all required features in any smart phone like battery, camera, 2+1 card slot and last but not in the list is ""Notch Display"""	5
199	supb	5
200	Always big fan and supporter of Honor Products.	5
201	Eye Catching Hybrid Smartphone	5
202	Picture, sound quality and battery life is normal nothing great	3
203	Good product front cam is some watquality less phone performance good	4
204	An outstanding buget phone, superby Packed features..Awesome battery life...Overall I would recommend this phone b/w this price bracket. But not for selfie freaks.	4
205	phone is good. but fast charging not available....READ MORE	3
206	Good phone but considering the feature it provides , the price i feel is  high. Although it says it says 5.5 inch phone but very small in size. Also no cast screen feature. But Camera is very good. If you are looking for a compact Iphone type mobile then this looks similar.	3
207	Good phone for selfie lovers	4
208	Picture quality is good but still needs to be improved. Performance is far better than other mid budget phones. We can say it's very smooth and awesome.  Battery life is decent. Will last for a day with normal usage. Little bit disappointed with camera performance but still worth of money.	4
209	This is a best.	5
210	Battery is not working	1
211	Mobile condition was good	5
212	Can give a little big screen and add NFC to it	3
213	The picture quality is unsatisfactory. It doesn't set exposures properly.	4
214	Phone super	5
215	Looks to be a good phone, had used it for couple of days. However, have been facing issue of OTD cable not working for my headphones, rather any headphone. Don't know why they send low quality accessories.	3
216	It's no 1	5
217	Camera. Is poor	1
218	In 10 k best phone with good brand	5
219	You must Read This Review before spending your hard earned 16k rupees, it's really great amount.Honest, unbiased  and in-depth review of Lg q6Read carefully.----------------------------------------------------------------------------------------------------------------------------------Display and Design----------------------------------------------------------------------------------------------------------------------------------First and foremost I must address the display on this device. I believe most of you would agree with me that the LG Q6 is a looker. Kudos to LG for bringing their flagship tech to the budget segment, reaching a wider audience range than flagships do. As you must have heard, LG calls this a Full Vision display. Essentially, the display is a little taller than the standard 1080p resolution. It rocks a 2160 x 1080p resolution, which takes the aspect ratio from the standard 16:9 to 18:9. In tandem, the top and bottom bezels have been drastically minimised, which adds to the phone’s unique look. Moreover, the Full Vision display not only makes the phone look good, but makes the whole footprint smaller. This means, the LG Q6 with its 5.5-inch display, is just a hair bigger than the 5-inch Lenovo Z2 Plus.As for the display quality, it is a top notch panel and can easily be regarded as one of the best in the category. Viewing angles are very good and the colour saturation, though a bit warm, is favourable for viewing all kinds of content. It is easily viewable outdoors and under direct sunlight, and with luminance readings of 605 lux, offers ample brightness as well. The display has Gorilla Glass 3 protection on top for scratch protection and the touch response is quite good.What I did find a little disappointing is the fact that not a lot of apps can make use of the extra screen space made available on this phone. However, LG is a still an early adopter of the screen resolution and as more phones join the bunch, developers will also start implementing the screen resolution in their respective apps.Complementing the display is the overall design of the device, which makes the Q6 look like a miniaturised version of the G6. the metal side rails, along with the glossy plastic back give the phone an upmarket look. It is well weighted and quite ergonomic for the screen size it offers.----------------------------------------------------------------------------------------------------------------------------------Build quality----------------------------------------------------------------------------------------------------------------------------------While the display makes the phone enticing, it also adds a sense of fragility. LG claims that its H-beam chassis is more than capable of handling those occasional bumps and drops. The frame itself is made out of 7000 series aluminium, which marketing jargon will tell you is an aerospace grade material. Although, to put it relatively, that has been used in smartphones for ages. I have been using the phone for a few days now and it does feel quite sturdy in hand. The edges are metallic and rounded, which makes the phone easier to grip. While Gorilla Glass 3 protects the display from scratches, the plastic back gets scratched quite easily. The Gorilla Glass 3 display is also flat and not curved.----------------------------------------------------------------------------------------------------------------------------------UI and features----------------------------------------------------------------------------------------------------------------------------------LG hasn't changed its UI significantly in terms of design and functionality since the LG G6. So, you still get a very colourful interface with no app drawer. LG tries to ease the user into the UI from the very beginning, with tutorials and pop-cards for almost all aspects and functions of the device. It will give you pop-ups to explain what you should do if your phone becomes unresponsive by chance or how you can add a fourth shortcut in the navigation panel at the bottom.LG has duplicate apps for almost all Google apps, which seems unnecessary. These apps not only take up space, but will slow down the update process in the long run. This is due to the fact that like any other company, LG will bring Android O to its flagships first and then to other phones.Coming back to the phone at hand, I am disappointed to see that the device does not feature a fingerprint scanner. However, the Q6 comes with a “face unlock” feature, that works, but is a little slow for my liking.----------------------------------------------------------------------------------------------------------------------------------Performance----------------------------------------------------------------------------------------------------------------------------------While the face unlock is slow, the performance of the phone itself is slower. Powered by the Qualcomm Snapdragon 435 SoC and 3GB of RAM, the LG Q6 can barely keep up with the competition on synthetic benchmarks. That being said, if you are not into heavy gaming or don’t use processor intensive tasks, such as video editing apps, then you would find the overall experience of the phone good enough. You can have multiple (more than 20) apps in the task manager, download videos on Amazon Prime in the background and watch or stream YouTube videos at the same time, without the phone stutteringThe only time I had issues with the performance was when I played games like Injustice 2 and Vainglory on it. The phone kept stuttering and one could see noticeable frame drops throughout the gameplay. At the same time, you can try games like Daddy Long Legs and Card Thief, which just about work fine.4G connectivity is also good and the Q6 supports dual VoLTE SIM cards slots. It also features a dedicated external memory card slot in extension to the 32GB internal storage. The speaker on the back side could have been louder, but I do find the audio quality via headphones decent.----------------------------------------------------------------------------------------------------------------------------------Battery life----------------------------------------------------------------------------------------------------------------------------------The LG Q6 brings a 3000mAh battery to the table, which is good enough for normal users. Using the phone as a daily driver I found that its battery is highly efficient and maintains its battery life quite well, even if you indulge in watching YouTube videos a lot. There is even a “game battery saver” mode, which adjusts the battery consumption and extend battery life. Although, that is something you won't need, as you can’t really game on the phone. The device scored 5 hours and 1 minutes on the PCMark benchmark, which isn't exceptional, but still workable, as the phone lasts a day easily even if you’re a heavy user.----------------------------------------------------------------------------------------------------------------------------------Camera----------------------------------------------------------------------------------------------------------------------------------Like the battery life, the rear 13MP camera on the LG Q6 is also just about good enough. Images taken in all lighting conditions look rather subdued, but have ample details and sharpness. Images do tend to be grainy, as you move to low light settings, but most images do look usable. I believe the camera could have achieved more with a manual mode, but LG has kept the camera app very lackluster. Apart from panorama and food mode, the phone doesn't really let you tweak settings further.There are the usual filters and you can switch between auto mode or LG’s own square mode, which it introduced with the G6. The front facing 5MP camera also has the wide angle and normal selfie camera modes, taken from the G6. The image quality here is again just good enough, with softer focus, cleaning blemishes and dark spots. There is a skin tone slider as well, but unless you are outside in ample light conditions, the camera won’t do justice to your face or skin tone in selfies. Needless to say, selfies in low light or even under incandescent light are just not good enough.----------------------------------------------------------------------------------------------------------------------------------Final Opinion----------------------------------------------------------------------------------------------------------------------------------This brings us to the conclusion of the LG Q6 review, which makes me both happy and sad. I am happy that LG finally took it upon itself to change how budget segment smartphones should look. The Q6 now sets the precedent for how a sub-15K smartphone or anything around this price should be designed. At the same time, I am somewhat disappointed that the performance of the Q6 is somewhat disappointing and sub-par compared to our recommended choices. The phones especially lacks the gaming prowess we have now accustomed ourselves to in the sub-15K smartphone category.As to answer the burning question, yes, the LG Q6 is recommendable phone if and only if you are not a very heavy user. The phone offers a brilliant display, a usable camera, is well built and has decent battery life as well.ThankYouIf you really liked the review or it helped you in any way please press YES button belowYou can ask question in comments below.	4
220	Very nice phone.... Value for money	5
221	Camera is poor & very average, display is also poor, battery performance is also poor. Just it's design is nice. It's fun functioning not easily accessible. I have used Radmi Note 5 Pro, it's superb than MI 2.	2
222	Amazing design and performance. The kirin 710 is very nice. But the cameras are someward over saturating and the speaker sound is somewhat low. Except this the phone is best.	5
223	Picture quality is goodSound quality is bestBattery life is the best	4
224	Hi Guys,don't buy this Redmi6 Pro, Both front and Back camera is not good, There is no Fast charging option.	1
225	Battery	5
226	Battery needs to be improved ..	5
227	Don't buy	1
228	Perfect phone in this budget.	5
229	Poor performanceREAD MORE	1
230	Battery bake up is very good and fast charging .	5
231	Charging is very slow and not showing network sometimes.	1
232	Battery life is not comfortable with this price, all other ujl j bol hl htl h h h y u	4
233	I did buy this phone by exchanging Note 4 Pro but, i am not satisfied with picture quality, battery is poor, screen resolution not best fit while watxhing fb videos. I fell lost good phone and for worst model in MI😂😂	1
234	Nice product I ordered it on first sale and was delivered after one day the shipping should be a bit fast overall the product was awesome	5
235	Not even 1 month and the phone has started hanging. I have tried everything and still remains the same. The screen starts operating by itself eventhough I do not click anything. not sure how to fix it. Other than that everything else works well.	1
236	Too much weight	4
237	Worst smartphone ever as per price point.	1
238	Slow motion video:  > it's worstCamera:  > Picture depth effect is not that clear.  > back camera at night isn't good.  > network signal strength is weak.	3
239	need to improve front facing camera	5
240	The display is awesome. Sound and battery life is average. Very comfortable to operate with single hand	4
241	Very nice ....	5
242	Nice phone good battery display and camera	4
243	The product is faulty. there is software problem within 20 days of use	1
244	Camera quality should have been improved	4
245	Good mobile phone under 14,000,	5
246	I am writing this review after using the phone for a week.Pros:Outstanding rear & front camera: Portrait mode is phenomenal, photos are sharp, clear & detailedUI: very good, fast processor, no lagLooks: very nicely shaped & colored, notch display makes the phone classyNo heating problem at allCons:Battery has to be >3500 MaH, current battery lasts upto 30-35 Hrs after regular use.	5
247	Phone is good. Delivered as promised with good packed.	5
248	The biggest disappoint is audio jack is worst ,i have costly earphone not properly connect , 13000rs waste on this 3rd class product, never return option	2
249	great phone	5
250	Excellent performance till date and value for money..	5
251	Very good display, Solid build, light weight, good battery, nice cameras.	4
252	Well battery backup at full day use. Most of online users also buy it, it a really amazing product budget phone	5
253	In my village my old sony z3 doesn't have signal , this mobile picks at least 3 bars signal and can make video calls. That's what I like in this mobile. Even my new Honor picks max 2 bars and no video call strength.For atleast 2 days battery charging is not necessary, battery life is really good. Camera is awesome, picture quality is great.Bottom speaker sound quality is louder.And also has IR blaster which is very handy. What can I ask more??	5
254	Certainly one of the best phones in this price range.	5
255	Notch is not as perfect as i hope,Videos are not supporting notch screen display..	4
256	Battery problem	1
257	Looking is excellent and colour of mobile and his sound camera and battery is good and processor	5
258	I want to buy again	5
259	Its a average phone because screen is very suspicious to dance. There are lags while using it for multiple app. The finger print scanner us also OK in slightly mositure condition it wont work	2
260	Overall phone quality like screen and body not good	2
261	Nokia is leading backBest phone in this range plus NOKIA tags which will not embarace you in any situation. great design smooth and fast softwarevery good battery lifegood sound from speaker and earpiece usb type-c light weight and 7.9mm thickfast fingerprint and recognise easilyfront cam is nice but back cam is averagebundled earphones are very cheap no notification leddon't update to aug security patch if u don't like notch no proper face unlock overall a very good deviceREAD MORE	5
262	Good pictureNYC sound qualityNice battery life	4
263	An another nice product from mi	5
264	awesome phone	4
265	I got it at best price and i am totally satisfied by packaging, delivery of product..... I dont have any complaints vecause it is working beautifully without any glitches....	4
266	Phone Quality is good	4
267	Screen resolution is great...camera is just so so not as per expectations...User experience of the interfaces and dialing screen is not uptothe mark. It seems Old model of year 2015 in android.... speaker volume is low cannot hear while traveling. I give only three stars😘	3
268	Awesome product and looks premium in hands	4
269	Good looking, build quality is good, display is superb. Battery backup not bad runs Full day easily.Only cons - Front Camera is poor, else all is well in this budget.	4
270	Super	5
271	Overall the product is very good just more battery could be better but for non gamers its not more problematic & the charger is pretty good it charges the phone fast	5
272	Nice product good price	5
273	Good package from redmiEarlier delivered product✌👍	5
274	I bought this phone through amazon delivery within 3 days.The phone is best buy for a middle budget person.Camera is awesome . Full screen feature is great. No heating issue reported till now.face lock/unlock feature is praiseworthy.Sound is also superb.	5
275	Awe some	4
276	Nice Phone but little bit over budget	4
277	Phone is good, picture quality are also good, could have been better if they would have given fast charger and a better battery for life, in terms of software it's very good, but MI needs to remove it's useless software when it's a stock android.	4
278	ProsRear cameraFhd+ screenTop notchConsFront cameraProcessor ( not recommended for gaming )This phone is 3.5/5 as you can get way better options in this price range like the redmi note 5 pro or Asus sending max pro me.	4
279	Awesome product. I am fully satisfied.	5
280	I have used iphone htc samsung and its Worst phone from samsung  dont purchase they wont return.	1
281	Used for 2 mnths now..good product	5
282	Mind blowing smart phone in this range awesome full vision display...	5
283	Normal	1
284	LG Q6 Full vision display value for money. Excellent mobile. Thanks LG for gave this type amazing mobile...	5
285	Everything is average	3
286	Nice Phone.... Made by Huawei ...... There is no single issue with this device performance good camera is also superb.... I love Huawei P20 Lite.Keep it up definitely together we make it possible :) :) :)	5
287	Great phone, Camera is too good, Overall product is best for us.	4
288	Battery life not good	4
289	Best buy price wise	4
290	wonderful	5
291	Average Phone...Camera quality is averaged.Battery is good.Display is good..Sound is also good..	3
292	Very good product to purchase at their range of price . Design was excellent.	5
293	like you redmi 6 pro	5
294	Ok	4
